Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
CAR,DAIHATSU,5AA-A202S ROCKY,JAPAN,PETROL/ELE,78.0,ANURADHAPURA,RECONDITIONED,1,5AA-A202S,ROCKY
CAR,HONDA,6AA-RV5  VEZEL,JAPAN,PETROL/ELE,1496.0,RATNAPURA,RECONDITIONED,1,6AA-RV5,VEZEL
LAND VEHICLE (SMALL),KUBOTA,K600,JAPAN,DIESEL,422.0,MONERAGALA,RECONDITIONED,1,,K600
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1797.0,GAMPAHA,RECONDITIONED,3,6AA-ZVG13,COROLLA
CAR,SUZUKI,3BA-DA17W EVERY,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,9,3BA-DA17W,EVERY
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,8,5AA-MK94S,SPACIA
CAR,SUZUKI,5AA-MR92S HUSTLER,JAPAN,PETROL,656.0,KURUNEGALA,RECONDITIONED,1,5AA-MR92S,HUSTLER
CAR,NISSAN,5BD-DR17V CLIPPER,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2,5BD-DR17V,CLIPPER
CAR,TOYOTA,PASSO 5BA-M700A,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,1,,PASSO 5BA-M700A
DUAL PURPOSE (COMMERCIAL),TOYOTA,3DF-GUN125 HILUX,THAILAND,DIESEL,2393.0,COLOMBO,RECONDITIONED,3,3DF-GUN125,HILUX
CAR,AUDI,3AA-GYDLA A3,GERMANY,PETROL,999.0,COLOMBO,RECONDITIONED,5,3AA-GYDLA,A3
COMMERCIAL,TOYOTA,3DF-GDH223B HIACE,JAPAN,DIESEL,2754.0,KURUNEGALA,RECONDITIONED,1,3DF-GDH223B,HIACE
CAR,DAIHATSU,5BA-LA350S MIRA E.S,JAPAN,PETROL,658.0,HAMBANTOTA,RECONDITIONED,1,5BA-LA350S,MIRA E.S
CAR,SUZUKI,3BA-HA37S,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,1,3BA-HA37S,ALTO
