Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MATALE,LOCALLY BUILT,2,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR  TRAILER,SRI LANKA,NOT STATED,0.0,BATTICALOA,LOCALLY BUILT,9,,TRACTOR  TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRAILER BOWSER,SRI LANKA,NOT STATED,0.0,JAFFNA,LOCALLY BUILT,2,,TRAILER BOWSER
MOTOR CYCLE,SOLID,G6,CHINA,ELECTRIC,1.5,PUTTALAM,BRAND NEW,2,,G6
MOTOR CYCLE,ATHER,450X,INDIA,ELECTRIC,3.0,GAMPAHA,BRAND NEW,1,,450X
MOTOR CYCLE,LUYUAN,M-MHH-Z30LJ,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,2,,M-MHH-Z30LJ
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,JAFFNA,RECONDITIONED,2,6AA-MXPJ10,YARIS
LAND VEHICLE,TAFE,45DI,INDIA,DIESEL,2500.0,BATTICALOA,BRAND NEW,14,,45DI
LAND VEHICLE (SMALL),LAND FORCE,RK80,THAILAND,DIESEL,416.0,TRINCOMALEE,BRAND NEW,1,,RK80
MOTOR CYCLE,NWOW,ARS,CHINA,ELECTRIC,0.45,GAMPAHA,BRAND NEW,3,,ARS
MOTOR CYCLE,YADEA,E8S PRO,CHINA,ELECTRIC,2.0,KURUNEGALA,BRAND NEW,5,,E8S PRO
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,COLOMBO,BRAND NEW,36,,T5
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,GALLE,BRAND NEW,2,MKK-Z23E-12-C,Unknown
