Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,BYD,SEAL-COMFORT,CHINA,ELECTRIC,100.0,COLOMBO,BRAND NEW,2025.0,28,SEAL-COMFORT,Unknown
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2025.0,4,5AA-MK94S,SPACIA
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,HAMBANTOTA,RECONDITIONED,2025.0,2,6AA-MXPJ10,YARIS
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,COLOMBO,RECONDITIONED,2025.0,4,5BA-A201A,RAIZE
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2023.0,19,6AA-MXPJ10,YARIS
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,2024.0,2,5BA-LA900S,TAFT
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,2023.0,7,5BA-KSP210,YARIS
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,2024.0,1,5AA-HA97S,ALTO
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,KURUNEGALA,RECONDITIONED,2025.0,8,,CITY RS
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,2024.0,13,6AA-RV5,VEZEL
CAR,DAIHATSU,5BA LA350S  MIRA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,1,,5BA LA350S  MIRA
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,COLOMBO,BRAND NEW,2025.0,273,,SEALION 6 SUPERIOR
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,RATNAPURA,BRAND NEW,2025.0,20,,SEALION 6 SUPERIOR
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2023.0,11,5BA-LA900S,TAFT
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,2023.0,12,5BA-KSP210,YARIS
CAR,BYD,SEAL-COMFORT,CHINA,ELECTRIC,100.0,KALUTARA,BRAND NEW,2025.0,2,SEAL-COMFORT,Unknown
CAR,KIA,CARNIVAL,SOUTH KOREA,PETROL/ELE,1598.0,COLOMBO,BRAND NEW,2025.0,1,,CARNIVAL
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,2024.0,4,5BA-M900A,ROOMY
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,MATARA,RECONDITIONED,2023.0,6,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2025.0,230,6AA-RV5,VEZEL
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,PUTTALAM,RECONDITIONED,2023.0,3,5BA-M900A,ROOMY
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2024.0,2,5BA-LA900S,TAFT
CAR,HONDA,6BA-JH3 N WGN,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2023.0,1,6BA-JH3,N WGN
CAR,LAND ROVER,3BA-LE72XAA,UNITED KINGDOM,PETROL,1997.0,KANDY,RECONDITIONED,2023.0,1,3BA-LE72XAA,Unknown
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,AMPARA,RECONDITIONED,2024.0,1,5AA-A202A,RAIZE
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,GAMPAHA,BRAND NEW,2025.0,103,,SEALION 6 SUPERIOR
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,MONERAGALA,BRAND NEW,2025.0,2,,SEALION 6 SUPERIOR
