Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
MOTOR CYCLE,OYFLY,TDM-LTW,CHINA,ELECTRIC,2.0,KURUNEGALA,BRAND NEW,1,TDM-LTW,Unknown
MOTOR CYCLE,SOLID,LEO,CHINA,ELECTRIC,1.2,PUTTALAM,BRAND NEW,2,,LEO
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,HAMBANTOTA,BRAND NEW,1,,MNK3
LAND VEHICLE,TAFE,7250 DI,INDIA,DIESEL,2500.0,BATTICALOA,BRAND NEW,1,,7250 DI
MOTOR CYCLE,OYFLY,TDM-LTW,CHINA,ELECTRIC,2.0,KALUTARA,BRAND NEW,1,TDM-LTW,Unknown
MOTOR CYCLE,REVOLT,RV 400,INDIA,ELECTRIC,3.0,PUTTALAM,BRAND NEW,2,,RV 400
MOTOR CYCLE,REVOLT,RV 400,INDIA,ELECTRIC,3.0,GALLE,BRAND NEW,1,,RV 400
MOTOR CYCLE,TAILG,MENGSU,CHINA,ELECTRIC,1.0,HAMBANTOTA,BRAND NEW,1,,MENGSU
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,MANNAR,BRAND NEW,3,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,POLONNARUWA,BRAND NEW,3,,EPOC H
MOTOR CYCLE,TVS,IQUBE,INDIA,ELECTRIC,3.34,MATARA,BRAND NEW,4,,IQUBE
LAND VEHICLE,KARTAR,GLOBETRAC 4736 4WD,INDIA,DIESEL,3117.0,MULLATIVU,BRAND NEW,4,,GLOBETRAC 4736 4WD
PRIMER MOVER,TATA,SIGNA 4018,INDIA,DIESEL,5883.0,COLOMBO,BRAND NEW,2,,SIGNA 4018
MOTOR CYCLE,LUYUAN ALFA,MKK-Z23E-12-C,CHINA,ELECTRIC,1.2,KALUTARA,BRAND NEW,1,MKK-Z23E-12-C,Unknown
MOTOR CYCLE,OYFLY,TDM BO2,CHINA,ELECTRIC,1.0,COLOMBO,BRAND NEW,2,,TDM BO2
DUAL PURPOSE (COMMERCIAL),DAIMLER,HBD-S321V HIJET,JAPAN,PETROL,650.0,GAMPAHA,RECONDITIONED,1,HBD-S321V,HIJET
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,COLOMBO,RECONDITIONED,2,,PCX
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,9,,PCX 160
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,GAMPAHA,RECONDITIONED,8,,PCX 125
MOTOR CYCLE,SUZUKI,BURGMAN,JAPAN,PETROL,124.0,KEGALLE,RECONDITIONED,1,,BURGMAN
LAND VEHICLE,MASSEY FERGUSON,240,GERMANY,DIESEL,2502.0,JAFFNA,RECONDITIONED,1,,240
DUAL PURPOSE (COMMERCIAL),SUZUKI,HBD-DA17V EVERY,JAPAN,PETROL,650.0,KANDY,RECONDITIONED,2,HBD-DA17V,EVERY
