Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Model_Code,Clean_Name
SPECIAL PURPOSE VEHICLE,TOYOTA,2FD20,JAPAN,DIESEL,2481.0,COLOMBO,RECONDITIONED,1,,2FD20
MOTOR CYCLE,YAMAHA,VINO,JAPAN,PETROL,49.0,GAMPAHA,RECONDITIONED,1,,VINO
MOTOR LORRY (COMMERCIAL),ISUZU,NPR75UH5A,JAPAN,DIESEL,5193.0,COLOMBO,RECONDITIONED,1,,NPR75UH5A
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,COLOMBO,RECONDITIONED,1,,PCX 125
LAND VEHICLE,KUBOTA,L2002DT,JAPAN,DIESEL,1300.0,COLOMBO,RECONDITIONED,1,,L2002DT
CAR,TOYOTA,RAIZE-5BA-A201A,JAPAN,PETROL,1196.0,COLOMBO,RECONDITIONED,1,RAIZE-5BA-A201A,Unknown
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,157.0,MATALE,RECONDITIONED,1,,PCX 160
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,HAMBANTOTA,BRAND NEW-L/MANUFACT,1,,NTORQ 125
CAR,EMPEROR,NZT 240,SRI LANKA,PETROL,1496.0,KEGALLE,USED PARTS-ASSEMBLED,1,,NZT 240
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,KILINOCHCHI,LOCALLY BUILT,12,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,JAFFNA,LOCALLY BUILT,20,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LOW BED TRAILER,SRI LANKA,NOT STATED,0.0,GAMPAHA,LOCALLY BUILT,1,,LOW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,AMPARA,LOCALLY BUILT,6,,LAW BED TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MULLATIVU,LOCALLY BUILT,12,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,MANNAR,LOCALLY BUILT,10,,TRACTOR TRAILER
TRACTOR TRAILER/BOWSER,WIMAL AGRO,TRACTOR TRAILER,SRI LANKA,NOT STATED,0.0,ANURADHAPURA,LOCALLY BUILT,3,,TRACTOR TRAILER
LORRY TRAILER/BOWSER,TANTRI,TFB 40,SRI LANKA,NOT STATED,0.0,COLOMBO,LOCALLY BUILT,2,,TFB 40
MOTOR CYCLE,SUZUKI,BURGMAN,INDIA,PETROL,125.0,GAMPAHA,BOUGHT FROM AUCTION,1,,BURGMAN
MOTOR TRICYCLE VAN,PIAGGIO,APE EXTRA LD,INDIA,DIESEL,435.0,MATARA,BOUGHT FROM AUCTION,1,,APE EXTRA LD
TRACTOR TRAILER/BOWSER,LOCALLY BUILT,LAW BED TRAILER,SRI LANKA,NOT STATED,0.0,KEGALLE,LOCALLY BUILT,1,,LAW BED TRAILER
MOTOR CYCLE,QUANLE,Q1,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,3,,Q1
MOTOR CYCLE,QUANLE,ZS,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,4,,ZS
MOTOR CYCLE,QUANLE,XGW,CHINA,ELECTRIC,1.2,KURUNEGALA,BRAND NEW,3,,XGW
MOTOR CYCLE,QUANLE,Q1,CHINA,ELECTRIC,1.2,AMPARA,BRAND NEW,1,,Q1
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,11,,T 9
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,MONERAGALA,BRAND NEW,23,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,POLONNARUWA,BRAND NEW,51,,T5
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,MANNAR,BRAND NEW,7,,T5
LAND VEHICLE,NEW HOLLAND,3230 TX,INDIA,DIESEL,2700.0,BATTICALOA,BRAND NEW,1,,3230 TX
LAND VEHICLE,E KUBOTA,EK3-471 4WD,INDIA,DIESEL,2761.0,ANURADHAPURA,BRAND NEW,1,EK3-471,4WD
MOTOR CYCLE,YADEA,T5,CHINA,ELECTRIC,1.2,JAFFNA,BRAND NEW,12,,T5
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,ANURADHAPURA,BRAND NEW,6,,EPOC H
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,HAMBANTOTA,BRAND NEW,10,,MNK3
LAND VEHICLE (SMALL),VIKYNO,RV125-2,VIETNAM,DIESEL,624.0,HAMBANTOTA,BRAND NEW,4,RV125-2,Unknown
MOTOR CYCLE,NWOW,ARS,CHINA,ELECTRIC,0.45,KALUTARA,BRAND NEW,2,,ARS
SPECIAL PURPOSE VEHICLE,JAC,CP CD 80,CHINA,DIESEL,6500.0,COLOMBO,BRAND NEW,1,,CP CD 80
MOTOR CYCLE,LUYUAN,MNK3,CHINA,ELECTRIC,1.5,PUTTALAM,BRAND NEW,1,,MNK3
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,MONERAGALA,BRAND NEW,4,,EPOC H
MOTOR CYCLE,YADEA,EPOC H,CHINA,ELECTRIC,2.0,GALLE,BRAND NEW,7,,EPOC H
MOTOR CYCLE,YADEA,T 9,CHINA,ELECTRIC,2.0,AMPARA,BRAND NEW,1,,T 9
PRIMER MOVER,TATA,SIGNA 4018,INDIA,DIESEL,5883.0,COLOMBO,BRAND NEW,13,,SIGNA 4018
MOTOR CYCLE,TVS,NTORQ 125,SRI LANKA,PETROL,124.79,BATTICALOA,BRAND NEW,1,,NTORQ 125
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,157.0,PUTTALAM,RECONDITIONED,6,,PCX 160
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEB80,JAPAN,DIESEL,2990.0,MATARA,RECONDITIONED,1,TKG-FEB80,Unknown
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,PUTTALAM,RECONDITIONED,5,,PCX 125
MOTOR CYCLE,HONDA,PCX 125,VIETNAM,PETROL,124.0,GAMPAHA,RECONDITIONED,3,,PCX 125
CAR,TOYOTA,6AA-AXAH54,JAPAN,PETROL/ELE,2487.0,COLOMBO,RECONDITIONED,1,6AA-AXAH54,Unknown
CAR,TOYOTA,6AA-ZVG13,JAPAN,PETROL/ELE,1797.0,COLOMBO,RECONDITIONED,1,6AA-ZVG13,Unknown
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,156.0,KANDY,RECONDITIONED,1,,PCX 160
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,2,,PCX
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,4400.0,GAMPAHA,RECONDITIONED,1,,3CX
SINGLE CAB,TOYOTA,EBD-S510U,JAPAN,PETROL,650.0,COLOMBO,RECONDITIONED,1,EBD-S510U,Unknown
MOTOR CYCLE,HONDA,PCX 160,JAPAN,PETROL,156.0,PUTTALAM,RECONDITIONED,1,,PCX 160
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,124.0,COLOMBO,RECONDITIONED,1,,PCX
CAR,EMPEROR,NZE 121,SRI LANKA,PETROL,1497.0,COLOMBO,USED PARTS-ASSEMBLED,1,,NZE 121
CAR,EMPEROR,NZE  121,SRI LANKA,PETROL,1497.0,COLOMBO,USED PARTS-ASSEMBLED,1,,NZE  121
