Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Source,Full_Text,Price_Numeric
Suzuki WAGON R CUSTOM Z 2025 Car,"Rs. 7,750,000",2025,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10866144,5,li,"Suzuki WAGON R CUSTOM Z 2025 Car Colombo Rs. 7,750,000 2025-12-09",7750000
Toyota PRIUS 4th Generation W50 2016 Car,"Rs. 14,200,000",2016,,,,,https://riyasewana.com/buy/toyota-prius-4th-sale-kandana-10882922,5,li,"Toyota PRIUS 4th Generation W50 2016 Car Kandana Rs. 14,200,000 122000 (km) 2025-12-12",14200000
Suzuki Wagon R Fx Safety 2023 Car,"Rs. 7,150,000",2023,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10891075,5,li,"Suzuki Wagon R Fx Safety 2023 Car Colombo Rs. 7,150,000 9500 (km) 2025-12-14",7150000
Suzuki Alto 2019 Car,"Rs. 4,390,000",2019,,,,,https://riyasewana.com/buy/suzuki-alto-sale-nugegoda-10894224,5,li,"Suzuki Alto 2019 Car Nugegoda Rs. 4,390,000 61926 (km) 2025-12-14",4390000
Volvo 740 GLE 1989 Car,,1989,,,,,https://riyasewana.com/buy/volvo-740-gle-sale-malabe-10894222,5,li,Volvo 740 GLE 1989 Car Malabe Negotiable 120000 (km) 2025-12-14,0
Toyota Corona AT 150 1987 Car,"Rs. 1,250,000",1987,,,,,https://riyasewana.com/buy/toyota-corona-at-sale-katunayake-10894216,5,li,"Toyota Corona AT 150 1987 Car Katunayake Rs. 1,250,000 2025-12-14",1250000
Nissan March K11 2001 Car,,2001,,,,,https://riyasewana.com/buy/nissan-march-k11-sale-wattala-10894214,5,li,Nissan March K11 2001 Car Wattala Negotiable 22222 (km) 2025-12-14,0
BMW 320i 2011 Car,,2011,,,,,https://riyasewana.com/buy/bmw-320i-sale-colombo-10894211,5,li,BMW 320i 2011 Car Colombo Negotiable 97000 (km) 2025-12-14,0
Kia Picanto 2016 Car,"Rs. 5,790,000",2016,,,,,https://riyasewana.com/buy/kia-picanto-sale-malabe-10894210,5,li,"Kia Picanto 2016 Car Malabe Rs. 5,790,000 77000 (km) 2025-12-14",5790000
Suzuki Alto 2004 Car,,2004,,,,,https://riyasewana.com/buy/suzuki-alto-sale-kandy-10894207,5,li,Suzuki Alto 2004 Car Kandy Negotiable 2025-12-14,0
Suzuki Spacia 2024 Car,"Rs. 8,350,000",2024,,,,,https://riyasewana.com/buy/suzuki-spacia-sale-colombo-10894201,5,li,"Suzuki Spacia 2024 Car Colombo Rs. 8,350,000 202000 (km) 2025-12-14",8350000
Suzuki Wagon R Custome Z 2023 Car,"Rs. 8,375,000",2023,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-10894198,5,li,"Suzuki Wagon R Custome Z 2023 Car Galle Rs. 8,375,000 37000 (km) 2025-12-14",8375000
Suzuki Alto 2015 Car,"Rs. 3,950,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-tangalle-10894196,5,li,"Suzuki Alto 2015 Car Tangalle Rs. 3,950,000 29000 (km) 2025-12-14",3950000
Toyota Vitz 2009 Car,"Rs. 6,190,000",2009,,,,,https://riyasewana.com/buy/toyota-vitz-sale-malabe-10894193,5,li,"Toyota Vitz 2009 Car Malabe Rs. 6,190,000 130000 (km) 2025-12-14",6190000
