Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Suzuki,Swift,1989,Negotiable,,Warakapola,2026-02-25,https://riyasewana.com/buy/suzuki-swift-sale-warakapola-11260120
SUV,Toyota,CHR NGX10,2018,"Rs. 13,000,000",107000,Gampaha,2026-02-25,https://riyasewana.com/buy/toyota-chr-ngx10-sale-gampaha-11260119
Motorbike,Honda,Dio 110,2026,"Rs. 785,000",8,Moratuwa,2026-02-25,https://riyasewana.com/buy/honda-dio-110-sale-moratuwa-11260118
Car,Suzuki,A-Star,2010,"Rs. 4,590,000",77400,Malabe,2026-02-25,https://riyasewana.com/buy/suzuki-a-star-sale-malabe-11260117
Van,Toyota,Townace CR27,1991,Negotiable,157,Anuradapura,2026-02-25,https://riyasewana.com/buy/toyota-townace-cr27-sale-anuradapura-11260116
Van,Nissan,Clipper,2015,Negotiable,74000,Kandy,2026-02-25,https://riyasewana.com/buy/nissan-clipper-sale-kandy-11260115
Motorbike,Honda,Benly No Book,2007,Negotiable,51000,Galle,2026-02-25,https://riyasewana.com/buy/honda-benly-no-sale-galle-11260114
Three Wheel,Bajaj,4 Stroke,2014,"Rs. 1,410,000",6000,Galle,2026-02-25,https://riyasewana.com/buy/bajaj-4-stroke-sale-galle-11260113
Motorbike,Honda,Twister,2017,"Rs. 338,000",39885,Ja-Ela,2026-02-25,https://riyasewana.com/buy/honda-twister-sale-ja-ela-11260112
Car,Suzuki,A-Star,2011,"Rs. 4,490,000",129000,Malabe,2026-02-25,https://riyasewana.com/buy/suzuki-a-star-sale-malabe-11260111
Motorbike,Bajaj,CT-100,2017,"Rs. 490,000",130000,Malabe,2026-02-25,https://riyasewana.com/buy/bajaj-ct-100-sale-malabe-11260110
SUV,Nissan,X-Trail,2016,"Rs. 11,875,000",31829,Malabe,2026-02-25,https://riyasewana.com/buy/nissan-x-trail-sale-malabe-11260109
Car,Nissan,Leaf G,2013,"Rs. 4,900,000",136000,Ratnapura,2026-02-25,https://riyasewana.com/buy/nissan-leaf-g-sale-ratnapura-11260108
